k,inercia,coeficiente_silueta
2,2261582.994600403,0.1670942744493208
3,2119108.9504545606,0.10867578424301241
4,2024794.8570093247,0.11714475614961625
5,1934323.1725540117,0.12356120844840075
6,1857212.1168709286,0.1037273685880784
7,1788503.5085578943,0.08704678668737023
8,1716271.3006503005,0.09442054675391946
