Modelo,Accuracy,Precision,Recall,F1-score
Regresión Logística,0.7757239327000115,0.6690839694656489,0.3648283038501561,0.4721885521885522
Random Forest,0.8523520659265194,0.7736777367773677,0.6545265348595213,0.7091319052987599
